-0.0463503645,-0.009489051,0.002
-0.0463503645,-0.002189781,0.002
-0.0463503645,0.005109489,0.002
-0.0463503645,0.012408759,0.002
-0.0390510945,-0.024087591,0.002
-0.0390510945,-0.016788321,0.002
-0.0390510945,-0.009489051,0.002
-0.0390510945,-0.002189781,0.002
-0.0390510945,0.005109489,0.002
-0.0390510945,0.012408759,0.002
-0.0390510945,0.019708029,0.002
-0.0390510945,0.027007299,0.002
-0.0317518245,-0.031386861,0.002
-0.0317518245,-0.024087591,0.002
-0.0317518245,-0.016788321,0.002
-0.0317518245,-0.009489051,0.002
-0.0317518245,-0.002189781,0.002
-0.0317518245,0.005109489,0.002
-0.0317518245,0.012408759,0.002
-0.0317518245,0.019708029,0.002
-0.0317518245,0.027007299,0.002
-0.0317518245,0.034306569,0.002
-0.0244525545,-0.038686131,0.002
-0.0244525545,-0.031386861,0.002
-0.0244525545,-0.024087591,0.002
-0.0244525545,-0.016788321,0.002
-0.0244525545,-0.009489051,0.002
-0.0244525545,-0.002189781,0.002
-0.0244525545,0.005109489,0.002
-0.0244525545,0.012408759,0.002
-0.0244525545,0.019708029,0.002
-0.0244525545,0.027007299,0.002
-0.0244525545,0.034306569,0.002
-0.0244525545,0.041605839,0.002
-0.0171532845,-0.038686131,0.002
-0.0171532845,-0.031386861,0.002
-0.0171532845,-0.024087591,0.002
-0.0171532845,-0.016788321,0.002
-0.0171532845,-0.009489051,0.002
-0.0171532845,-0.002189781,0.002
-0.0171532845,0.005109489,0.002
-0.0171532845,0.012408759,0.002
-0.0171532845,0.019708029,0.002
-0.0171532845,0.027007299,0.002
-0.0171532845,0.034306569,0.002
-0.0171532845,0.041605839,0.002
-0.0098540145,-0.045985401,0.002
-0.0098540145,-0.038686131,0.002
-0.0098540145,-0.031386861,0.002
-0.0098540145,-0.024087591,0.002
-0.0098540145,-0.016788321,0.002
-0.0098540145,-0.009489051,0.002
-0.0098540145,-0.002189781,0.002
-0.0098540145,0.005109489,0.002
-0.0098540145,0.012408759,0.002
-0.0098540145,0.019708029,0.002
-0.0098540145,0.027007299,0.002
-0.0098540145,0.034306569,0.002
-0.0098540145,0.041605839,0.002
-0.0098540145,0.048905109,0.002
-0.0025547445,-0.045985401,0.002
-0.0025547445,-0.038686131,0.002
-0.0025547445,-0.031386861,0.002
-0.0025547445,-0.024087591,0.002
-0.0025547445,-0.016788321,0.002
-0.0025547445,-0.009489051,0.002
-0.0025547445,-0.002189781,0.002
