
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 3.98099098e+01, 6.52602538e-02, 0.00000000e+00, 5.82694716e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 3.96975555e+01, 6.82604089e-02, 0.00000000e+00, 5.53137565e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 3.96229973e+01, 6.90843463e-02, 0.00000000e+00, 3.83516890e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 3.95674591e+01, 6.98580667e-02, 0.00000000e+00, 2.88607669e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 3.95239449e+01, 7.04772547e-02, 0.00000000e+00, 2.33078521e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 3.94866791e+01, 7.10045695e-02, 0.00000000e+00, 2.02600859e-04
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 3.94527779e+01, 7.14817047e-02, 0.00000000e+00, 1.85161305e-04
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 3.94207726e+01, 7.19296038e-02, 0.00000000e+00, 1.74893954e-04
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 3.93898201e+01, 7.23602250e-02, 0.00000000e+00, 1.68934392e-04
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 3.93594055e+01, 7.27808550e-02, 0.00000000e+00, 1.65672216e-04
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 3.93292084e+01, 7.31960982e-02, 0.00000000e+00, 1.64144061e-04
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 3.92990150e+01, 7.36090243e-02, 0.00000000e+00, 1.63700737e-04
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 3.92686539e+01, 7.40217492e-02, 0.00000000e+00, 1.63921635e-04
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 3.92380180e+01, 7.44357854e-02, 0.00000000e+00, 1.64673664e-04
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 3.92070389e+01, 7.48521537e-02, 0.00000000e+00, 1.65911973e-04
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 3.91756516e+01, 7.52716288e-02, 0.00000000e+00, 1.67531718e-04
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 3.91438179e+01, 7.56947100e-02, 0.00000000e+00, 1.69436171e-04
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 3.91114998e+01, 7.61217847e-02, 0.00000000e+00, 1.71545849e-04
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 3.90786667e+01, 7.65531138e-02, 0.00000000e+00, 1.73796871e-04
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 3.90453186e+01, 7.69888684e-02, 0.00000000e+00, 1.76137954e-04
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 3.90114326e+01, 7.74291158e-02, 0.00000000e+00, 1.78527291e-04
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 3.89770012e+01, 7.78738856e-02, 0.00000000e+00, 1.80930438e-04
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 3.89420166e+01, 7.83231333e-02, 0.00000000e+00, 1.83318334e-04
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 3.89064865e+01, 7.87767991e-02, 0.00000000e+00, 1.85666257e-04
9.17911530e-06, 9.99999978e-03, 4.20018621e-02, 3.88704109e+01, 7.92347416e-02, 0.00000000e+00, 1.87952668e-04
9.17911530e-06, 9.99999978e-03, 4.25017588e-02, 3.88337975e+01, 7.96967968e-02, 0.00000000e+00, 1.90158506e-04
9.17911530e-06, 9.99999978e-03, 4.30016629e-02, 3.87966614e+01, 8.01628381e-02, 0.00000000e+00, 1.92266685e-04
9.17911530e-06, 9.99999978e-03, 4.35015596e-02, 3.87590027e+01, 8.06325898e-02, 0.00000000e+00, 1.94261433e-04
9.17911530e-06, 9.99999978e-03, 4.40014638e-02, 3.87208443e+01, 8.11058357e-02, 0.00000000e+00, 1.96128269e-04
9.17911530e-06, 9.99999978e-03, 4.45013605e-02, 3.86822052e+01, 8.15822855e-02, 0.00000000e+00, 1.97853413e-04
9.17911530e-06, 9.99999978e-03, 4.50012647e-02, 3.86430931e+01, 8.20616782e-02, 0.00000000e+00, 1.99423812e-04
9.17911530e-06, 9.99999978e-03, 4.55011614e-02, 3.86035347e+01, 8.25436860e-02, 0.00000000e+00, 2.00826762e-04
9.17911530e-06, 9.99999978e-03, 4.60010581e-02, 3.85635567e+01, 8.30279738e-02, 0.00000000e+00, 2.02049763e-04
9.17911530e-06, 9.99999978e-03, 4.65009622e-02, 3.85231895e+01, 8.35141614e-02, 0.00000000e+00, 2.03080373e-04
9.17911530e-06, 9.99999978e-03, 4.70008589e-02, 3.84824562e+01, 8.40018913e-02, 0.00000000e+00, 2.03905714e-04
9.17911530e-06, 9.99999978e-03, 4.75007631e-02, 3.84413948e+01, 8.44907239e-02, 0.00000000e+00, 2.04511292e-04
9.17911530e-06, 9.99999978e-03, 4.80006598e-02, 3.84000282e+01, 8.49802643e-02, 0.00000000e+00, 2.04883720e-04
9.17911530e-06, 9.99999978e-03, 4.85005639e-02, 3.83584061e+01, 8.54700357e-02, 0.00000000e+00, 2.04889919e-04
9.17911530e-06, 9.99999978e-03, 4.90004607e-02, 3.83165627e+01, 8.59595984e-02, 0.00000000e+00, 2.04505544e-04
9.17911530e-06, 9.99999978e-03, 4.95003648e-02, 3.82745399e+01, 8.64485055e-02, 0.00000000e+00, 2.03840566e-04
9.17911530e-06, 9.99999978e-03, 5.00002615e-02, 3.82323799e+01, 8.69361907e-02, 0.00000000e+00, 2.02884301e-04
9.17911530e-06, 9.99999978e-03, 5.05001582e-02, 3.81901360e+01, 8.74221325e-02, 0.00000000e+00, 2.01627452e-04
9.17911530e-06, 9.99999978e-03, 5.10000624e-02, 3.81478577e+01, 8.79057646e-02, 0.00000000e+00, 2.00059134e-04
9.17911530e-06, 9.99999978e-03, 5.14999591e-02, 3.81056480e+01, 8.83859321e-02, 0.00000000e+00, 1.98171241e-04
9.17911530e-06, 9.99999978e-03, 5.19998632e-02, 3.80634727e+01, 8.88631716e-02, 0.00000000e+00, 1.95946195e-04
9.17911530e-06, 9.99999978e-03, 5.24997599e-02, 3.80214310e+01, 8.93362984e-02, 0.00000000e+00, 1.93374959e-04
9.17911530e-06, 9.99999978e-03, 5.29996641e-02, 3.79795990e+01, 8.98046643e-02, 0.00000000e+00, 1.90445760e-04
9.17911530e-06, 9.99999978e-03, 5.34995608e-02, 3.79380341e+01, 9.02675539e-02, 0.00000000e+00, 1.87146885e-04
9.17911530e-06, 9.99999978e-03, 5.39994650e-02, 3.78968124e+01, 9.07243043e-02, 0.00000000e+00, 1.83466589e-04
9.17911530e-06, 9.99999978e-03, 5.44993617e-02, 3.78560066e+01, 9.11741778e-02, 0.00000000e+00, 1.79393246e-04
9.17911530e-06, 9.99999978e-03, 5.49992584e-02, 3.78156967e+01, 9.16164219e-02, 0.00000000e+00, 1.74915418e-04
9.17911530e-06, 9.99999978e-03, 5.54991625e-02, 3.77759590e+01, 9.20502618e-02, 0.00000000e+00, 1.70021784e-04
9.17911530e-06, 9.99999978e-03, 5.59990592e-02, 3.77368851e+01, 9.24748927e-02, 0.00000000e+00, 1.64701356e-04
9.17911530e-06, 9.99999978e-03, 5.64989634e-02, 3.76985626e+01, 9.28895026e-02, 0.00000000e+00, 1.58943483e-04
9.17911530e-06, 9.99999978e-03, 5.69988601e-02, 3.76610756e+01, 9.32931975e-02, 0.00000000e+00, 1.52738008e-04
9.17911530e-06, 9.99999978e-03, 5.74987642e-02, 3.76245270e+01, 9.36851352e-02, 0.00000000e+00, 1.46075487e-04
9.17911530e-06, 9.99999978e-03, 5.79986610e-02, 3.75890236e+01, 9.40643549e-02, 0.00000000e+00, 1.38947333e-04
9.17911530e-06, 9.99999978e-03, 5.84985651e-02, 3.75546494e+01, 9.44299325e-02, 0.00000000e+00, 1.31346285e-04
9.17911530e-06, 9.99999978e-03, 5.89984618e-02, 3.75215302e+01, 9.47808996e-02, 0.00000000e+00, 1.23267047e-04
9.17911530e-06, 9.99999978e-03, 5.94983585e-02, 3.74897652e+01, 9.51161981e-02, 0.00000000e+00, 1.14706840e-04
9.17911530e-06, 9.99999978e-03, 5.99982627e-02, 3.74594879e+01, 9.54347849e-02, 0.00000000e+00, 1.05666928e-04
