
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 2.73004093e+01, 1.70547485e-01, 0.00000000e+00, 8.53480422e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 2.68846474e+01, 1.74856424e-01, 0.00000000e+00, 7.43790006e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 2.66413479e+01, 1.75800398e-01, 0.00000000e+00, 4.82536620e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 2.64685497e+01, 1.76768839e-01, 0.00000000e+00, 3.40363535e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 2.63458004e+01, 1.77464038e-01, 0.00000000e+00, 2.46383977e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 2.62530556e+01, 1.77986890e-01, 0.00000000e+00, 1.85632176e-04
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 2.61799564e+01, 1.78397015e-01, 0.00000000e+00, 1.42634774e-04
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 2.61206474e+01, 1.78727329e-01, 0.00000000e+00, 1.08439541e-04
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 2.60739594e+01, 1.78993136e-01, 0.00000000e+00, 8.11386562e-05
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 2.60359135e+01, 1.79221317e-01, 0.00000000e+00, 6.05602872e-05
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 2.60051308e+01, 1.79409772e-01, 0.00000000e+00, 4.36987575e-05
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 2.59809208e+01, 1.79560229e-01, 0.00000000e+00, 2.98666528e-05
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 2.59627399e+01, 1.79675817e-01, 0.00000000e+00, 1.92032730e-05
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 2.59501457e+01, 1.79759771e-01, 0.00000000e+00, 1.19229999e-05
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 2.59427948e+01, 1.79814294e-01, 0.00000000e+00, 7.55945712e-06
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 2.59405422e+01, 1.79838970e-01, 0.00000000e+00, 2.18412720e-06
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 2.59442005e+01, 1.79807246e-01, 0.00000000e+00, -3.07072605e-06
