
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 4.82895947e+00, 2.72038966e-01, 0.00000000e+00, 6.06819347e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 4.37063026e+00, 2.75042266e-01, 0.00000000e+00, 5.16573549e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 4.10270166e+00, 2.75730729e-01, 0.00000000e+00, 3.31186893e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 3.91996837e+00, 2.76384056e-01, 0.00000000e+00, 2.29867626e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 3.79239202e+00, 2.76844591e-01, 0.00000000e+00, 1.67847393e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 3.69554996e+00, 2.77194738e-01, 0.00000000e+00, 1.30676344e-04
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 3.61761284e+00, 2.77476817e-01, 0.00000000e+00, 1.06202388e-04
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 3.55231881e+00, 2.77713329e-01, 0.00000000e+00, 8.88409413e-05
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 3.49600124e+00, 2.77917176e-01, 0.00000000e+00, 7.58326132e-05
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 3.44640923e+00, 2.78096586e-01, 0.00000000e+00, 6.56472621e-05
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 3.40208673e+00, 2.78256804e-01, 0.00000000e+00, 5.73913494e-05
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 3.36204338e+00, 2.78401405e-01, 0.00000000e+00, 5.05200660e-05
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 3.32557273e+00, 2.78533041e-01, 0.00000000e+00, 4.46830381e-05
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 3.29215479e+00, 2.78653532e-01, 0.00000000e+00, 3.96445066e-05
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 3.26139092e+00, 2.78764397e-01, 0.00000000e+00, 3.52394381e-05
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 3.23297143e+00, 2.78866768e-01, 0.00000000e+00, 3.13484670e-05
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 3.20664859e+00, 2.78961539e-01, 0.00000000e+00, 2.78828666e-05
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 3.18222046e+00, 2.79049456e-01, 0.00000000e+00, 2.47751905e-05
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 3.15952253e+00, 2.79131085e-01, 0.00000000e+00, 2.19732738e-05
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 3.13841581e+00, 2.79206991e-01, 0.00000000e+00, 1.94361564e-05
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 3.11878371e+00, 2.79277533e-01, 0.00000000e+00, 1.71313477e-05
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 3.10052848e+00, 2.79343158e-01, 0.00000000e+00, 1.50328424e-05
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 3.08356404e+00, 2.79404074e-01, 0.00000000e+00, 1.31197230e-05
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 3.06781769e+00, 2.79460639e-01, 0.00000000e+00, 1.13751121e-05
9.17911530e-06, 9.99999978e-03, 4.20018621e-02, 3.05322599e+00, 2.79513031e-01, 0.00000000e+00, 9.78539629e-06
9.17911530e-06, 9.99999978e-03, 4.25017588e-02, 3.03973389e+00, 2.79561460e-01, 0.00000000e+00, 8.33961712e-06
9.17911530e-06, 9.99999978e-03, 4.30016629e-02, 3.02729297e+00, 2.79606134e-01, 0.00000000e+00, 7.02901207e-06
9.17911530e-06, 9.99999978e-03, 4.35015596e-02, 3.01586127e+00, 2.79647142e-01, 0.00000000e+00, 5.84661348e-06
9.17911530e-06, 9.99999978e-03, 4.40014638e-02, 3.00540113e+00, 2.79684663e-01, 0.00000000e+00, 4.78692345e-06
9.17911530e-06, 9.99999978e-03, 4.45013605e-02, 2.99588037e+00, 2.79718816e-01, 0.00000000e+00, 3.84560281e-06
9.17911530e-06, 9.99999978e-03, 4.50012647e-02, 2.98727083e+00, 2.79749691e-01, 0.00000000e+00, 3.01914883e-06
9.17911530e-06, 9.99999978e-03, 4.55011614e-02, 2.97954750e+00, 2.79777378e-01, 0.00000000e+00, 2.30454771e-06
9.17911530e-06, 9.99999978e-03, 4.60010581e-02, 2.97268891e+00, 2.79801995e-01, 0.00000000e+00, 1.69885698e-06
9.17911530e-06, 9.99999978e-03, 4.65009622e-02, 2.96667647e+00, 2.79823542e-01, 0.00000000e+00, 1.19871333e-06
9.17911530e-06, 9.99999978e-03, 4.70008589e-02, 2.96149492e+00, 2.79842079e-01, 0.00000000e+00, 7.99740008e-07
9.17911530e-06, 9.99999978e-03, 4.75007631e-02, 2.95713067e+00, 2.79857725e-01, 0.00000000e+00, 4.95876691e-07
9.17911530e-06, 9.99999978e-03, 4.80006598e-02, 2.95357370e+00, 2.79870480e-01, 0.00000000e+00, 2.78684240e-07
9.17911530e-06, 9.99999978e-03, 4.85005639e-02, 2.95081544e+00, 2.79880345e-01, 0.00000000e+00, 1.36743040e-07
9.17911530e-06, 9.99999978e-03, 4.90004607e-02, 2.94884968e+00, 2.79887378e-01, 0.00000000e+00, 5.53076731e-08
9.17911530e-06, 9.99999978e-03, 4.95003648e-02, 2.94767189e+00, 2.79891640e-01, 0.00000000e+00, 1.64009020e-08
9.17911530e-06, 9.99999978e-03, 5.00002615e-02, 2.94728017e+00, 2.79893011e-01, 0.00000000e+00, -5.38172340e-10
9.17911530e-06, 9.99999978e-03, 5.05001582e-02, 2.94767332e+00, 2.79891640e-01, 0.00000000e+00, -1.74924697e-08
9.17911530e-06, 9.99999978e-03, 5.10000624e-02, 2.94885206e+00, 2.79887348e-01, 0.00000000e+00, -5.64441685e-08
9.17911530e-06, 9.99999978e-03, 5.14999591e-02, 2.95081615e+00, 2.79880345e-01, 0.00000000e+00, -1.36700294e-07
9.17911530e-06, 9.99999978e-03, 5.19998632e-02, 2.95357490e+00, 2.79870450e-01, 0.00000000e+00, -2.78668978e-07
9.17911530e-06, 9.99999978e-03, 5.24997599e-02, 2.95713186e+00, 2.79857755e-01, 0.00000000e+00, -4.95894596e-07
9.17911530e-06, 9.99999978e-03, 5.29996641e-02, 2.96149635e+00, 2.79842079e-01, 0.00000000e+00, -7.99794122e-07
9.17911530e-06, 9.99999978e-03, 5.34995608e-02, 2.96667838e+00, 2.79823542e-01, 0.00000000e+00, -1.19880406e-06
9.17911530e-06, 9.99999978e-03, 5.39994650e-02, 2.97269106e+00, 2.79801935e-01, 0.00000000e+00, -1.69898465e-06
9.17911530e-06, 9.99999978e-03, 5.44993617e-02, 2.97954965e+00, 2.79777348e-01, 0.00000000e+00, -2.30471210e-06
9.17911530e-06, 9.99999978e-03, 5.49992584e-02, 2.98727369e+00, 2.79749691e-01, 0.00000000e+00, -3.01934710e-06
9.17911530e-06, 9.99999978e-03, 5.54991625e-02, 2.99588370e+00, 2.79718816e-01, 0.00000000e+00, -3.84582791e-06
9.17911530e-06, 9.99999978e-03, 5.59990592e-02, 3.00540423e+00, 2.79684663e-01, 0.00000000e+00, -4.78716993e-06
9.17911530e-06, 9.99999978e-03, 5.64989634e-02, 3.01586437e+00, 2.79647142e-01, 0.00000000e+00, -5.84687632e-06
9.17911530e-06, 9.99999978e-03, 5.69988601e-02, 3.02729678e+00, 2.79606104e-01, 0.00000000e+00, -7.02928855e-06
9.17911530e-06, 9.99999978e-03, 5.74987642e-02, 3.03973794e+00, 2.79561460e-01, 0.00000000e+00, -8.33990543e-06
