
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 4.02432899e+01, 5.84226102e-02, 0.00000000e+00, 5.29290235e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 4.01507339e+01, 6.11691959e-02, 0.00000000e+00, 5.01382805e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 4.00877686e+01, 6.19571805e-02, 0.00000000e+00, 3.42989981e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 4.00395393e+01, 6.27051517e-02, 0.00000000e+00, 2.54810322e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 4.00003700e+01, 6.33252561e-02, 0.00000000e+00, 2.04943964e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 3.99656258e+01, 6.38716966e-02, 0.00000000e+00, 1.79726223e-04
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 3.99329796e+01, 6.43818453e-02, 0.00000000e+00, 1.67243299e-04
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 3.99012489e+01, 6.48742244e-02, 0.00000000e+00, 1.61533972e-04
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 3.98697662e+01, 6.53591454e-02, 0.00000000e+00, 1.59639269e-04
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 3.98381538e+01, 6.58427253e-02, 0.00000000e+00, 1.59783260e-04
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 3.98061409e+01, 6.63286224e-02, 0.00000000e+00, 1.61173652e-04
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 3.97735939e+01, 6.68190792e-02, 0.00000000e+00, 1.63557983e-04
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 3.97403984e+01, 6.73154593e-02, 0.00000000e+00, 1.66611338e-04
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 3.97065086e+01, 6.78186342e-02, 0.00000000e+00, 1.70098589e-04
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 3.96718559e+01, 6.83291033e-02, 0.00000000e+00, 1.73858003e-04
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 3.96364250e+01, 6.88471869e-02, 0.00000000e+00, 1.77777692e-04
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 3.96001854e+01, 6.93730190e-02, 0.00000000e+00, 1.81778669e-04
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 3.95631371e+01, 6.99066296e-02, 0.00000000e+00, 1.85803627e-04
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 3.95252533e+01, 7.04479814e-02, 0.00000000e+00, 1.89810147e-04
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 3.94865417e+01, 7.09969550e-02, 0.00000000e+00, 1.93765649e-04
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 3.94469872e+01, 7.15533718e-02, 0.00000000e+00, 1.97644520e-04
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 3.94066162e+01, 7.21170381e-02, 0.00000000e+00, 2.01426010e-04
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 3.93654175e+01, 7.26877302e-02, 0.00000000e+00, 2.05092540e-04
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 3.93233910e+01, 7.32651800e-02, 0.00000000e+00, 2.08628844e-04
