
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 3.04784813e+01, 1.50999367e-01, 0.00000000e+00, 5.98476618e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 3.02238159e+01, 1.53999507e-01, 0.00000000e+00, 5.00202004e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 3.00723381e+01, 1.54696986e-01, 0.00000000e+00, 3.01486813e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 2.99691505e+01, 1.55349538e-01, 0.00000000e+00, 1.88185921e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 2.98979015e+01, 1.55806452e-01, 0.00000000e+00, 1.17229676e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 2.98450375e+01, 1.56145349e-01, 0.00000000e+00, 7.52527994e-05
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 2.98039360e+01, 1.56409055e-01, 0.00000000e+00, 4.90794991e-05
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 2.97710686e+01, 1.56619996e-01, 0.00000000e+00, 3.21227853e-05
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 2.97443295e+01, 1.56791598e-01, 0.00000000e+00, 2.09301088e-05
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 2.97223873e+01, 1.56932339e-01, 0.00000000e+00, 1.34776883e-05
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 2.97043552e+01, 1.57047957e-01, 0.00000000e+00, 8.52560697e-06
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 2.96895962e+01, 1.57142550e-01, 0.00000000e+00, 5.27808834e-06
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 2.96776352e+01, 1.57219216e-01, 0.00000000e+00, 3.19844389e-06
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 2.96680984e+01, 1.57280385e-01, 0.00000000e+00, 1.91075719e-06
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 2.96606750e+01, 1.57327995e-01, 0.00000000e+00, 1.14707393e-06
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 2.96551132e+01, 1.57363728e-01, 0.00000000e+00, 7.17155615e-07
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 2.96511822e+01, 1.57389045e-01, 0.00000000e+00, 4.88768706e-07
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 2.96486835e+01, 1.57405213e-01, 0.00000000e+00, 3.73311480e-07
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 2.96474342e+01, 1.57413438e-01, 0.00000000e+00, 3.14465467e-07
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 2.96472721e+01, 1.57414645e-01, 0.00000000e+00, 2.78922897e-07
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 2.96480522e+01, 1.57409877e-01, 0.00000000e+00, 2.48642095e-07
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 2.96496315e+01, 1.57400027e-01, 0.00000000e+00, 2.16259380e-07
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 2.96518764e+01, 1.57385886e-01, 0.00000000e+00, 1.80403205e-07
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 2.96546745e+01, 1.57368198e-01, 0.00000000e+00, 1.42375598e-07
9.17911530e-06, 9.99999978e-03, 4.20018621e-02, 2.96579075e+01, 1.57347783e-01, 0.00000000e+00, 1.05137424e-07
9.17911530e-06, 9.99999978e-03, 4.25017588e-02, 2.96614685e+01, 1.57325208e-01, 0.00000000e+00, 7.16320443e-08
9.17911530e-06, 9.99999978e-03, 4.30016629e-02, 2.96652622e+01, 1.57301128e-01, 0.00000000e+00, 4.41475692e-08
9.17911530e-06, 9.99999978e-03, 4.35015596e-02, 2.96691933e+01, 1.57276198e-01, 0.00000000e+00, 2.41460238e-08
