
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 3.94887848e+01, 6.99488297e-02, 0.00000000e+00, 5.85401256e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 3.93694305e+01, 7.29416460e-02, 0.00000000e+00, 5.43792848e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 3.92920837e+01, 7.37301558e-02, 0.00000000e+00, 3.69729678e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 3.92362556e+01, 7.44594261e-02, 0.00000000e+00, 2.70953751e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 3.91943665e+01, 7.50190616e-02, 0.00000000e+00, 2.11341830e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 3.91600952e+01, 7.54749253e-02, 0.00000000e+00, 1.76376896e-04
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 3.91303368e+01, 7.58693963e-02, 0.00000000e+00, 1.54158843e-04
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 3.91034813e+01, 7.62239695e-02, 0.00000000e+00, 1.39010328e-04
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 3.90785980e+01, 7.65510947e-02, 0.00000000e+00, 1.28192740e-04
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 3.90551147e+01, 7.68585578e-02, 0.00000000e+00, 1.20174540e-04
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 3.90326614e+01, 7.71513581e-02, 0.00000000e+00, 1.14051814e-04
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 3.90109787e+01, 7.74329528e-02, 0.00000000e+00, 1.09268629e-04
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 3.89898949e+01, 7.77057633e-02, 0.00000000e+00, 1.05465013e-04
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 3.89692764e+01, 7.79716074e-02, 0.00000000e+00, 1.02396261e-04
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 3.89490318e+01, 7.82317892e-02, 0.00000000e+00, 9.98889882e-05
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 3.89290695e+01, 7.84873962e-02, 0.00000000e+00, 9.78158860e-05
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 3.89093437e+01, 7.87391737e-02, 0.00000000e+00, 9.60806938e-05
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 3.88897972e+01, 7.89877698e-02, 0.00000000e+00, 9.46087093e-05
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 3.88704109e+01, 7.92336613e-02, 0.00000000e+00, 9.33407791e-05
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 3.88511467e+01, 7.94772133e-02, 0.00000000e+00, 9.22292238e-05
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 3.88319778e+01, 7.97187090e-02, 0.00000000e+00, 9.12350370e-05
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 3.88129120e+01, 7.99583644e-02, 0.00000000e+00, 9.03259643e-05
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 3.87939110e+01, 8.01963359e-02, 0.00000000e+00, 8.94748955e-05
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 3.87749825e+01, 8.04327354e-02, 0.00000000e+00, 8.86590205e-05
9.17911530e-06, 9.99999978e-03, 4.20018621e-02, 3.87561188e+01, 8.06675926e-02, 0.00000000e+00, 8.78588180e-05
9.17911530e-06, 9.99999978e-03, 4.25017588e-02, 3.87373238e+01, 8.09009671e-02, 0.00000000e+00, 8.70575750e-05
9.17911530e-06, 9.99999978e-03, 4.30016629e-02, 3.87185936e+01, 8.11328292e-02, 0.00000000e+00, 8.62408269e-05
9.17911530e-06, 9.99999978e-03, 4.35015596e-02, 3.86999359e+01, 8.13631564e-02, 0.00000000e+00, 8.53959791e-05
9.17911530e-06, 9.99999978e-03, 4.40014638e-02, 3.86813545e+01, 8.15918744e-02, 0.00000000e+00, 8.45120449e-05
9.17911530e-06, 9.99999978e-03, 4.45013605e-02, 3.86628571e+01, 8.18189532e-02, 0.00000000e+00, 8.35793326e-05
9.17911530e-06, 9.99999978e-03, 4.50012647e-02, 3.86444511e+01, 8.20442364e-02, 0.00000000e+00, 8.25892857e-05
9.17911530e-06, 9.99999978e-03, 4.55011614e-02, 3.86261520e+01, 8.22676420e-02, 0.00000000e+00, 8.15342937e-05
