
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 3.01787834e+01, 1.52956992e-01, 0.00000000e+00, 6.00152009e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 2.99231091e+01, 1.55949593e-01, 0.00000000e+00, 5.00679249e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 2.97743683e+01, 1.56612858e-01, 0.00000000e+00, 3.04289366e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 2.96768894e+01, 1.57221720e-01, 0.00000000e+00, 1.90218823e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 2.96141205e+01, 1.57619536e-01, 0.00000000e+00, 1.15829615e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 2.95722160e+01, 1.57885060e-01, 0.00000000e+00, 6.83539765e-05
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 2.95444183e+01, 1.58061400e-01, 0.00000000e+00, 3.65260312e-05
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 2.95271530e+01, 1.58170968e-01, 0.00000000e+00, 1.58135736e-05
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 2.95184212e+01, 1.58226430e-01, 0.00000000e+00, 5.25089581e-06
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 2.95171280e+01, 1.58235222e-01, 0.00000000e+00, 1.79504002e-06
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 2.95222950e+01, 1.58204138e-01, 0.00000000e+00, -3.67934581e-06
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 2.95331326e+01, 1.58135548e-01, 0.00000000e+00, -1.25161341e-05
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 2.95488777e+01, 1.58036321e-01, 0.00000000e+00, -2.30101996e-05
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 2.95691605e+01, 1.57908157e-01, 0.00000000e+00, -3.43749380e-05
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 2.95936508e+01, 1.57752961e-01, 0.00000000e+00, -4.60284427e-05
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 2.96220875e+01, 1.57572389e-01, 0.00000000e+00, -5.76505081e-05
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 2.96542339e+01, 1.57367930e-01, 0.00000000e+00, -6.90565139e-05
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 2.96898613e+01, 1.57140911e-01, 0.00000000e+00, -8.01384667e-05
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 2.97287750e+01, 1.56892598e-01, 0.00000000e+00, -9.08337024e-05
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 2.97707710e+01, 1.56624109e-01, 0.00000000e+00, -1.01106780e-04
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 2.98156719e+01, 1.56336471e-01, 0.00000000e+00, -1.10938839e-04
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 2.98633003e+01, 1.56030774e-01, 0.00000000e+00, -1.20321107e-04
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 2.99134884e+01, 1.55708000e-01, 0.00000000e+00, -1.29251115e-04
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 2.99660740e+01, 1.55369073e-01, 0.00000000e+00, -1.37730458e-04
9.17911530e-06, 9.99999978e-03, 4.20018621e-02, 3.00208969e+01, 1.55014887e-01, 0.00000000e+00, -1.45762606e-04
9.17911530e-06, 9.99999978e-03, 4.25017588e-02, 3.00778084e+01, 1.54646367e-01, 0.00000000e+00, -1.53354646e-04
9.17911530e-06, 9.99999978e-03, 4.30016629e-02, 3.01366615e+01, 1.54264346e-01, 0.00000000e+00, -1.60509284e-04
9.17911530e-06, 9.99999978e-03, 4.35015596e-02, 3.01973057e+01, 1.53869689e-01, 0.00000000e+00, -1.67241058e-04
9.17911530e-06, 9.99999978e-03, 4.40014638e-02, 3.02596035e+01, 1.53463170e-01, 0.00000000e+00, -1.73547101e-04
9.17911530e-06, 9.99999978e-03, 4.45013605e-02, 3.03234272e+01, 1.53045610e-01, 0.00000000e+00, -1.79446710e-04
9.17911530e-06, 9.99999978e-03, 4.50012647e-02, 3.03886375e+01, 1.52617767e-01, 0.00000000e+00, -1.84935969e-04
9.17911530e-06, 9.99999978e-03, 4.55011614e-02, 3.04551086e+01, 1.52180448e-01, 0.00000000e+00, -1.90034960e-04
9.17911530e-06, 9.99999978e-03, 4.60010581e-02, 3.05227165e+01, 1.51734322e-01, 0.00000000e+00, -1.94739623e-04
9.17911530e-06, 9.99999978e-03, 4.65009622e-02, 3.05913391e+01, 1.51280135e-01, 0.00000000e+00, -1.99070288e-04
9.17911530e-06, 9.99999978e-03, 4.70008589e-02, 3.06608601e+01, 1.50818601e-01, 0.00000000e+00, -2.03022704e-04
9.17911530e-06, 9.99999978e-03, 4.75007631e-02, 3.07311668e+01, 1.50350422e-01, 0.00000000e+00, -2.06617275e-04
9.17911530e-06, 9.99999978e-03, 4.80006598e-02, 3.08021507e+01, 1.49876252e-01, 0.00000000e+00, -2.09849517e-04
9.17911530e-06, 9.99999978e-03, 4.85005639e-02, 3.08737011e+01, 1.49396777e-01, 0.00000000e+00, -2.12739833e-04
