
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 3.55769348e+01, 1.12494007e-01, 0.00000000e+00, 5.90670737e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 3.53846092e+01, 1.15494363e-01, 0.00000000e+00, 5.45347226e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 3.52613335e+01, 1.16289794e-01, 0.00000000e+00, 3.72697948e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 3.51697083e+01, 1.17058434e-01, 0.00000000e+00, 2.80388747e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 3.50977020e+01, 1.17671274e-01, 0.00000000e+00, 2.27913886e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 3.50352859e+01, 1.18201032e-01, 0.00000000e+00, 2.01385745e-04
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 3.49775810e+01, 1.18689522e-01, 0.00000000e+00, 1.88196544e-04
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 3.49221077e+01, 1.19157635e-01, 0.00000000e+00, 1.82266784e-04
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 3.48674355e+01, 1.19617239e-01, 0.00000000e+00, 1.80426010e-04
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 3.48127289e+01, 1.20075427e-01, 0.00000000e+00, 1.80722898e-04
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 3.47574501e+01, 1.20536514e-01, 0.00000000e+00, 1.82396194e-04
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 3.47012787e+01, 1.21003129e-01, 0.00000000e+00, 1.85247016e-04
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 3.46440277e+01, 1.21476844e-01, 0.00000000e+00, 1.88918581e-04
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 3.45855675e+01, 1.21958643e-01, 0.00000000e+00, 1.93121727e-04
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 3.45258102e+01, 1.22449070e-01, 0.00000000e+00, 1.97644607e-04
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 3.44647255e+01, 1.22948416e-01, 0.00000000e+00, 2.02334617e-04
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 3.44022865e+01, 1.23456731e-01, 0.00000000e+00, 2.07081132e-04
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 3.43384857e+01, 1.23973981e-01, 0.00000000e+00, 2.11803097e-04
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 3.42733307e+01, 1.24499962e-01, 0.00000000e+00, 2.16440181e-04
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 3.42068405e+01, 1.25034392e-01, 0.00000000e+00, 2.20946822e-04
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 3.41390457e+01, 1.25576988e-01, 0.00000000e+00, 2.25288022e-04
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 3.40699806e+01, 1.26127407e-01, 0.00000000e+00, 2.29436613e-04
