
[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
9.17911530e-06, 9.99999978e-03, 3.00042592e-02, 2.63179188e+01, 1.75873712e-01, 0.00000000e+00, 8.89084826e-04
9.17911530e-06, 9.99999978e-03, 3.05041634e-02, 2.58693810e+01, 1.80338711e-01, 0.00000000e+00, 7.96925277e-04
9.17911530e-06, 9.99999978e-03, 3.10040601e-02, 2.55946045e+01, 1.81441918e-01, 0.00000000e+00, 5.29464858e-04
9.17911530e-06, 9.99999978e-03, 3.15039568e-02, 2.54002209e+01, 1.82491854e-01, 0.00000000e+00, 3.77608725e-04
9.17911530e-06, 9.99999978e-03, 3.20038609e-02, 2.52601242e+01, 1.83257610e-01, 0.00000000e+00, 2.80293811e-04
9.17911530e-06, 9.99999978e-03, 3.25037576e-02, 2.51518192e+01, 1.83848366e-01, 0.00000000e+00, 2.18351575e-04
9.17911530e-06, 9.99999978e-03, 3.30036618e-02, 2.50642338e+01, 1.84325799e-01, 0.00000000e+00, 1.74792207e-04
9.17911530e-06, 9.99999978e-03, 3.35035585e-02, 2.49915295e+01, 1.84721738e-01, 0.00000000e+00, 1.41706507e-04
9.17911530e-06, 9.99999978e-03, 3.40034626e-02, 2.49302139e+01, 1.85055226e-01, 0.00000000e+00, 1.15321542e-04
9.17911530e-06, 9.99999978e-03, 3.45033593e-02, 2.48780422e+01, 1.85338587e-01, 0.00000000e+00, 9.35968856e-05
9.17911530e-06, 9.99999978e-03, 3.50032635e-02, 2.48334675e+01, 1.85580358e-01, 0.00000000e+00, 7.53731074e-05
9.17911530e-06, 9.99999978e-03, 3.55031602e-02, 2.47953510e+01, 1.85786888e-01, 0.00000000e+00, 5.99610830e-05
9.17911530e-06, 9.99999978e-03, 3.60030569e-02, 2.47627945e+01, 1.85963079e-01, 0.00000000e+00, 4.69257975e-05
9.17911530e-06, 9.99999978e-03, 3.65029611e-02, 2.47350750e+01, 1.86112985e-01, 0.00000000e+00, 3.59722362e-05
9.17911530e-06, 9.99999978e-03, 3.70028578e-02, 2.47115841e+01, 1.86239928e-01, 0.00000000e+00, 2.68839522e-05
9.17911530e-06, 9.99999978e-03, 3.75027619e-02, 2.46917934e+01, 1.86346799e-01, 0.00000000e+00, 1.94844979e-05
9.17911530e-06, 9.99999978e-03, 3.80026586e-02, 2.46752586e+01, 1.86436087e-01, 0.00000000e+00, 1.36166727e-05
9.17911530e-06, 9.99999978e-03, 3.85025628e-02, 2.46615829e+01, 1.86509922e-01, 0.00000000e+00, 9.12273481e-06
9.17911530e-06, 9.99999978e-03, 3.90024595e-02, 2.46504116e+01, 1.86570242e-01, 0.00000000e+00, 5.83273595e-06
9.17911530e-06, 9.99999978e-03, 3.95023637e-02, 2.46414318e+01, 1.86618730e-01, 0.00000000e+00, 3.55608699e-06
9.17911530e-06, 9.99999978e-03, 4.00022604e-02, 2.46343670e+01, 1.86656907e-01, 0.00000000e+00, 2.08882648e-06
9.17911530e-06, 9.99999978e-03, 4.05021645e-02, 2.46289577e+01, 1.86686188e-01, 0.00000000e+00, 1.22108304e-06
9.17911530e-06, 9.99999978e-03, 4.10020612e-02, 2.46249771e+01, 1.86707765e-01, 0.00000000e+00, 7.88430555e-07
9.17911530e-06, 9.99999978e-03, 4.15019579e-02, 2.46221905e+01, 1.86723143e-01, 0.00000000e+00, 5.88107923e-07
9.17911530e-06, 9.99999978e-03, 4.20018621e-02, 2.46204338e+01, 1.86733082e-01, 0.00000000e+00, 4.43638015e-07
9.17911530e-06, 9.99999978e-03, 4.25017588e-02, 2.46195374e+01, 1.86738238e-01, 0.00000000e+00, 3.18602133e-07
9.17911530e-06, 9.99999978e-03, 4.30016629e-02, 2.46193657e+01, 1.86739385e-01, 0.00000000e+00, 2.25998875e-07
9.17911530e-06, 9.99999978e-03, 4.35015596e-02, 2.46197567e+01, 1.86737359e-01, 0.00000000e+00, 1.75467818e-07
9.17911530e-06, 9.99999978e-03, 4.40014638e-02, 2.46205826e+01, 1.86732948e-01, 0.00000000e+00, 1.54984718e-07
9.17911530e-06, 9.99999978e-03, 4.45013605e-02, 2.46217232e+01, 1.86726883e-01, 0.00000000e+00, 1.41997504e-07
9.17911530e-06, 9.99999978e-03, 4.50012647e-02, 2.46230812e+01, 1.86719641e-01, 0.00000000e+00, 1.27929795e-07
9.17911530e-06, 9.99999978e-03, 4.55011614e-02, 2.46245728e+01, 1.86711729e-01, 0.00000000e+00, 1.14447204e-07
9.17911530e-06, 9.99999978e-03, 4.60010581e-02, 2.46261063e+01, 1.86703563e-01, 0.00000000e+00, 1.04387198e-07
9.17911530e-06, 9.99999978e-03, 4.65009622e-02, 2.46276207e+01, 1.86695501e-01, 0.00000000e+00, 9.72205285e-08
9.17911530e-06, 9.99999978e-03, 4.70008589e-02, 2.46290531e+01, 1.86687887e-01, 0.00000000e+00, 9.12654201e-08
9.17911530e-06, 9.99999978e-03, 4.75007631e-02, 2.46303520e+01, 1.86681002e-01, 0.00000000e+00, 8.51242206e-08
9.17911530e-06, 9.99999978e-03, 4.80006598e-02, 2.46314735e+01, 1.86675042e-01, 0.00000000e+00, 7.74420315e-08
9.17911530e-06, 9.99999978e-03, 4.85005639e-02, 2.46323795e+01, 1.86670244e-01, 0.00000000e+00, 6.73418086e-08
9.17911530e-06, 9.99999978e-03, 4.90004607e-02, 2.46330471e+01, 1.86666712e-01, 0.00000000e+00, 5.43706449e-08
9.17911530e-06, 9.99999978e-03, 4.95003648e-02, 2.46334534e+01, 1.86664596e-01, 0.00000000e+00, 3.77216587e-08
9.17911530e-06, 9.99999978e-03, 5.00002615e-02, 2.46335869e+01, 1.86663881e-01, 0.00000000e+00, 1.96765040e-08
9.17911530e-06, 9.99999978e-03, 5.05001582e-02, 2.46334457e+01, 1.86664626e-01, 0.00000000e+00, 1.91562988e-09
9.17911530e-06, 9.99999978e-03, 5.10000624e-02, 2.46330318e+01, 1.86666802e-01, 0.00000000e+00, -1.45457459e-08
9.17911530e-06, 9.99999978e-03, 5.14999591e-02, 2.46323624e+01, 1.86670348e-01, 0.00000000e+00, -2.81442052e-08
9.17911530e-06, 9.99999978e-03, 5.19998632e-02, 2.46314468e+01, 1.86675176e-01, 0.00000000e+00, -3.81333756e-08
9.17911530e-06, 9.99999978e-03, 5.24997599e-02, 2.46303234e+01, 1.86681151e-01, 0.00000000e+00, -4.54670896e-08
9.17911530e-06, 9.99999978e-03, 5.29996641e-02, 2.46290169e+01, 1.86688080e-01, 0.00000000e+00, -5.15432248e-08
9.17911530e-06, 9.99999978e-03, 5.34995608e-02, 2.46275768e+01, 1.86695740e-01, 0.00000000e+00, -5.64103466e-08
9.17911530e-06, 9.99999978e-03, 5.39994650e-02, 2.46260548e+01, 1.86703831e-01, 0.00000000e+00, -6.30960173e-08
9.17911530e-06, 9.99999978e-03, 5.44993617e-02, 2.46245136e+01, 1.86712041e-01, 0.00000000e+00, -7.17959381e-08
9.17911530e-06, 9.99999978e-03, 5.49992584e-02, 2.46230183e+01, 1.86719999e-01, 0.00000000e+00, -8.47875654e-08
9.17911530e-06, 9.99999978e-03, 5.54991625e-02, 2.46216507e+01, 1.86727285e-01, 0.00000000e+00, -9.91612339e-08
9.17911530e-06, 9.99999978e-03, 5.59990592e-02, 2.46205006e+01, 1.86733395e-01, 0.00000000e+00, -1.12867419e-07
